TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,GAME_ROWS,AVG_GAME_MARGIN,AVG_TEAM_SCORE,AVG_OPP_SCORE
257,Richmond Spiders,Atlantic 10 Conference,0.46875,2.8,32,2.781250,76.718750,73.937500
2229,Florida International Panthers,Conference USA,0.46875,2.7,32,2.750000,80.625000,77.875000
149,Montana Grizzlies,Big Sky Conference,0.5294118,2.7,34,2.705882,77.264706,74.558824
2393,Middle Tennessee Blue Raiders,Conference USA,0.53125,2.6,32,2.656250,75.437500,72.781250
113,Massachusetts Minutemen,Mid-American Conference,0.5151515,2.6,33,2.606061,80.242424,77.636364
2450,Norfolk State Spartans,Mid-Eastern Athletic Conference,0.46875,2.6,32,2.593750,76.406250,73.812500
2571,South Dakota State Jackrabbits,Summit League,0.4375,2.6,32,2.562500,75.406250,72.843750
302,UC Davis Aggies,Big West Conference,0.57575756,2.5,33,2.545455,77.636364,75.090909
2515,Radford Highlanders,Big South Conference,0.5,2.6,32,2.531250,81.375000,78.843750
52,Florida State Seminoles,Atlantic Coast Conference,0.54545456,2.5,33,2.424242,80.363636,77.939394
2612,Saint Peter's Peacocks,Metro Atlantic Athletic Conference,0.5862069,2.4,29,2.413793,70.827586,68.413793
2116,UCF Knights,Big 12 Conference,0.6363636,2.3,33,2.303030,80.666667,78.363636
2351,Loyola Marymount Lions,West Coast Conference,0.46875,2.2,32,2.187500,74.250000,72.062500
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,0.6764706,2,34,2.058824,68.529412,66.470588
232,Charleston Cougars,Coastal Athletic Association,0.65625,2,32,2.031250,75.406250,73.375000
2385,Mercyhurst Lakers,Northeast Conference,0.5,2,34,1.970588,69.352941,67.382353
154,Wake Forest Demon Deacons,Atlantic Coast Conference,0.51428574,1.9,35,1.885714,78.828571,76.942857
179,St. Bonaventure Bonnies,Atlantic 10 Conference,0.5,1.9,34,1.882353,76.352941,74.470588
3101,Utah Tech Trailblazers,Western Athletic Conference,0.5588235,1.9,34,1.882353,76.823529,74.941176
112358,Long Island University Sharks,Northeast Conference,0.6857143,1.9,36,1.861111,71.583333,69.722222
2086,Butler Bulldogs,Big East Conference,0.5,1.9,32,1.843750,79.375000,77.531250
2084,Buffalo Bulls,Mid-American Conference,0.53125,1.8,32,1.843750,78.031250,76.187500
2405,Monmouth Hawks,Coastal Athletic Association,0.5588235,1.8,34,1.823529,72.676471,70.852941
2142,Colgate Raiders,Patriot League,0.54545456,1.8,33,1.818182,76.424242,74.606061
227,Rhode Island Rams,Atlantic 10 Conference,0.5,1.7,32,1.687500,69.875000,68.187500
2582,Southern Jaguars,Southwestern Athletic Conference,0.5,1.7,34,1.676471,79.617647,77.941176
2747,Wofford Terriers,Southern Conference,0.59375,1.7,32,1.625000,78.750000,77.125000
2463,Cal State Northridge Matadors,Big West Conference,0.5882353,1.6,34,1.588235,81.382353,79.794118
219,Pennsylvania Quakers,Ivy League,0.6,1.5,30,1.533333,75.900000,74.366667
2097,Campbell Fighting Camels,Coastal Athletic Association,0.47058824,1.5,34,1.529412,79.147059,77.617647
104,Boston University Terriers,Patriot League,0.5,1.6,34,1.529412,75.470588,73.941176
2539,San Francisco Dons,West Coast Conference,0.5151515,1.5,33,1.515152,74.666667,73.151515
2623,Missouri State Bears,Conference USA,0.47058824,1.4,34,1.441176,75.029412,73.588235
236,Chattanooga Mocs,Southern Conference,0.40625,1.4,32,1.437500,76.687500,75.250000
2504,Prairie View A&M Panthers,Southwestern Athletic Conference,0.5135135,1.4,38,1.368421,75.868421,74.500000
2507,Providence Friars,Big East Conference,0.45454547,1.3,33,1.303030,85.303030,84.000000
2239,Cal State Fullerton Titans,Big West Conference,0.5294118,1.3,34,1.294118,83.000000,81.705882
290,Georgia Southern Eagles,Sun Belt Conference,0.5675676,1.2,38,1.184211,78.789474,77.605263
77,Northwestern Wildcats,Big Ten Conference,0.44117647,1.1,34,1.176471,73.147059,71.970588
2717,Western Carolina Catamounts,Southern Conference,0.48387095,1.2,31,1.129032,78.451613,77.322581
2627,Tarleton State Texans,Western Athletic Conference,0.4375,1.1,33,1.090909,72.272727,71.181818
526,Florida Gulf Coast Eagles,ASUN Conference,0.47058824,1,34,0.970588,77.382353,76.411765
2870,Purdue Fort Wayne Mastodons,Horizon League,0.53125,1,33,0.969697,75.727273,74.757576
135,Minnesota Golden Gophers,Big Ten Conference,0.45454547,0.9,33,0.878788,69.363636,68.484848
2473,Oakland Golden Grizzlies,Horizon League,0.5,0.9,32,0.875000,82.562500,81.687500
2572,Southern Miss Golden Eagles,Sun Belt Conference,0.54285717,0.8,35,0.857143,74.714286,73.857143
2182,Drexel Dragons,Coastal Athletic Association,0.5151515,0.8,33,0.787879,68.090909,67.303030
183,Syracuse Orange,Atlantic Coast Conference,0.46875,0.7,32,0.750000,75.000000,74.250000
2320,Lamar Cardinals,Southland Conference,0.38709676,0.8,32,0.750000,67.718750,66.968750
314,Iona Gaels,Metro Atlantic Athletic Conference,0.5625,0.7,32,0.718750,73.843750,73.125000
324,Coastal Carolina Chanticleers,Sun Belt Conference,0.59375,0.7,32,0.718750,73.312500,72.593750
46,Georgetown Hoyas,Big East Conference,0.47058824,0.7,34,0.705882,73.617647,72.911765
256,James Madison Dukes,Sun Belt Conference,0.54545456,0.7,33,0.696970,74.545455,73.848485
305,DePaul Blue Demons,Big East Conference,0.5,0.7,32,0.687500,70.250000,69.562500
197,Oklahoma State Cowboys,Big 12 Conference,0.5714286,0.7,35,0.657143,83.857143,83.200000
30,USC Trojans,Big Ten Conference,0.5625,0.7,32,0.656250,78.593750,77.937500
2908,South Carolina Upstate Spartans,Big South Conference,0.40625,0.6,32,0.593750,74.250000,73.656250
2619,Stony Brook Seawolves,Coastal Athletic Association,0.53125,0.5,32,0.562500,71.718750,71.156250
2916,Incarnate Word Cardinals,Southland Conference,0.38709676,0.6,31,0.548387,74.258065,73.709677
2413,Morehead State Eagles,Ohio Valley Conference,0.6060606,0.6,33,0.545455,75.272727,74.727273
2674,Valparaiso Beacons,Missouri Valley Conference,0.54545456,0.5,33,0.545455,72.000000,71.454545
2439,UNLV Rebels,Mountain West Conference,0.51428574,0.6,35,0.542857,78.885714,78.342857
2427,UNC Asheville Bulldogs,Big South Conference,0.46875,0.5,32,0.468750,73.406250,72.937500
38,Colorado Buffaloes,Big 12 Conference,0.5151515,0.4,33,0.393939,80.151515,79.757576
225,Brown Bears,Ivy League,0.33333334,0.3,27,0.296296,70.370370,70.074074
2210,Elon Phoenix,Coastal Athletic Association,0.4375,0.2,32,0.250000,78.125000,77.875000
2181,Drake Bulldogs,Missouri Valley Conference,0.4117647,0.3,34,0.235294,75.058824,74.823529
2755,Grambling Tigers,Southwestern Athletic Conference,0.42424244,0.2,33,0.212121,70.333333,70.121212
2506,Presbyterian Blue Hose,Big South Conference,0.45454547,0.2,33,0.181818,72.363636,72.181818
278,Fresno State Bulldogs,Mountain West Conference,0.40625,0,32,0.031250,72.843750,72.812500
2172,Denver Pioneers,Summit League,0.46875,0,32,0.000000,82.812500,82.812500
156,Creighton Bluejays,Big East Conference,0.47058824,0,34,-0.029412,75.176471,75.205882
2739,Green Bay Phoenix,Horizon League,0.54545456,0,33,-0.030303,74.818182,74.848485
2174,Detroit Mercy Titans,Horizon League,0.53125,-0.1,32,-0.125000,77.218750,77.343750
2330,Le Moyne Dolphins,Northeast Conference,0.46875,-0.2,32,-0.156250,73.000000,73.156250
145,Ole Miss Rebels,Southeastern Conference,0.42857143,-0.2,35,-0.228571,75.885714,76.114286
294,Jacksonville Dolphins,ASUN Conference,0.375,-0.3,32,-0.312500,73.093750,73.406250
2681,Wagner Seahawks,Northeast Conference,0.4516129,-0.4,32,-0.375000,69.062500,69.437500
2010,Alabama A&M Bulldogs,Southwestern Athletic Conference,0.54545456,-0.4,34,-0.441176,69.941176,70.382353
